,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
0,Aqgromalin,2019,Chennai,AgriTech,Cultivating Ideas for Profit,Angel investors,200000,Venture - Series Unknown,2020
1,Krayonnz,2019,Bangalore,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,GSF Accelerator,100000,Pre-seed,2020
2,PadCare Labs,2018,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,Venture Center,3000000,Pre-seed,2020
3,NCOME,2020,New Delhi,Escrow,Escrow-as-a-service platform,"Venture Catalysts, PointOne Capital",400000,Venture - Series Unknown,2020
4,Gramophone,2016,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Siana Capital Management, Info Edge",340000,Venture - Series Unknown,2020
5,qZense,2019,Bangalore,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Venture Catalysts, 9Unicorns Accelerator Fund",600000,Seed,2020
6,MyClassboard,2008,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,ICICI Bank.,600000,Pre-series A,2020
7,Metvy,2018,Gurgaon,Networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,HostelFund,3000000,Pre-series,2020
8,Rupeek,2015,Bangalore,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","KB Investment, Bertelsmann India Investments",45000000,Series C,2020
9,Gig India,2017,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Shantanu Deshpande, Subramaniam Ramadorai",1000000,Pre-series A,2020
10,Slurrp Farm,2016,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Fireside Ventures,2000000,Series A,2020
11,Medfin,2017,Bangalore,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,"Axilor Ventures, S.D. Shibulal",3000000,Series A,2020
12,MasterG,2015,New Delhi,Fashion startup,MasterG is a design and skill development organisation.,Acumen Fund's angel programme,3000000,Venture - Series Unknown,2020
13,Brila 91,2014,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,"Sequoia Capital India, Sixth Sense Ventures",1200000,Venture - Series Unknown,2020
14,FoodyBuddy,2015,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,Rebel Foods,600000,Venture - Series Unknown,2020
15,Zomato,2008,Gurgaon,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Kora, Tiger Global Management",660000000,Venture - Series Unknown,2020
16,OurEye.ai,2020,Bangalore,Virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","100X VC, Amara Ventures",120000,Venture - Series Unknown,2020
17,Shiprocket,2017,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Bertelsmann India Investments, InnoVen Capital",7500000,Series C,2020
18,Pine Labs,1998,Noida,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,"Mastercard, Temasek Holdings",3000000,Venture - Series Unknown,2020
19,Moneyboxx Finance,2019,New Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,"BlackSoil, Caspian",1000000,Venture - Series Unknown,2020
20,EWar,2019,Bangalore,Gaming,EWar Games is a e-sports and real-time gaming start-up.,"Jindal Steels, Jeet Banerjee",3000000,Pre-series A,2020
21,SucSEED Indovation,2016,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Angel investors,5000000,Venture - Series Unknown,2020
22,TaxBuddy.com,2019,Mumbai,FinTech,TaxBuddy for any tax related issues.,Zenith Global,1000000,Venture - Series Unknown,2020
23,Awign Enterprises,2016,Bangalore,Work fulfillment,Operations and manpower outsourcing startup,"Unitus Ventures, Work10M",500000,Venture - Series Unknown,2020
24,Circle of Angels,2018,Gurgaon,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Angel investors,3000000,Venture - Series Unknown,2020
25,CoinDCX,2017,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,"Coinbase Ventures, Polychain",10000000,Series B,2020
26,Glance,2016,Bangalore,AI startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Mithril Capital Management.,145000000,Venture - Series Unknown,2020
27,VerSe Innovation,2007,Bangalore,Telecommunication,Owner of Dailyhunt App and I-Pay,Google,100000000,Venture - Series Unknown,2020
28,Voosh,2020,Bangalore,Food Industry,Building India's largest digital food service brand,Better Capital,3000000,Pre-seed,2020
29,Delhivery,2011,Gurgaon,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Steadview Capital, Canada Pension Plan Investment Board",3000000,Venture - Series Unknown,2020
30,Arya,1982,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",Quona Capital,21000000,Series B,2020
31,Pickrr,2015,New Delhi,Logistics,Pickrr is an on-demand first mile logistics company,Swastika,4000000,Venture - Series Unknown,2020
32,PhonePe,2015,Andheri,FinTech,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Flipkart, Walmart",20000000,Venture - Series Unknown,2020
33,Countingwell,2018,Bangalore,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.","Delhi Private School, UAE, Interstar",1000000,Pre-series A,2020
34,Callify.ai,2016,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,Malpani Ventures,560000,Seed,2020
35,Hudle,2016,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Survam Partners,3000000,Pre-series A,2020
36,Cover it Up,2013,Chennai,E-commerce,Online portal that churns out high quality products,Angel investors,400000,Seed,2020
37,BiteSpeed,2019,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,Whiteboard Capital,275000,Seed,2020
38,WakeFit,2016,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,Sequoia Capital.,20000000,Series B,2020
39,Sreyas Holistic Remedies,2008,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Blacksoil,1000000,Venture - Series Unknown,2020
40,Fleeca India,2016,Jaipur,Tyre management,FLEECA is a Tyre Care Provider company.,Bridgestone India,3000000,Venture - Series Unknown,2020
41,M1xchange,2017,Gurgaon,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,"BEENEXT, Mayfield Fund",4500000,Venture - Series Unknown,2020
42,Exotel,2011,Bangalore,Cloud company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,"A91 Partners, Artha India Ventures",5000000,Venture - Series Unknown,2020
